ID,JXFP,XXFP,JXJE,XXJE,FFP,FPZS,ZFFP,JXJS,XXJS,RM,LT,WD,YL,ML,grade,julei
E1,3441,8110,5964027383,4152993642,300,11551,416,6892693842,4798811945,0.031373582,0.211329663,0.938014025,-0.179094287,-0.436079103,0,0
E10,4097,568,6157427.23,369075006,36,4665,289,6478610.55,380698550.9,0.012670571,0.007838053,0.930332262,0.966534129,0.983316597,1,1
E100,58,99,21068.8,690766.21,15,157,1,23323.02,711489.21,0.000426426,1.49E-05,0.898089172,0.936519783,0.969499377,3,1
E101,16,63,45901.77,628887.98,0,79,31,53158,725965.41,0.000214571,1.41E-05,0.607594937,0.863544082,0.927011214,3,3
E102,730,177,3222107.37,403228.46,10,907,46,3708883.84,465011.01,0.002463496,7.57E-05,0.938257993,-0.777181253,-6.990773692,3,2
E103,172,64,712239.17,1939322.8,2,236,13,769561.21,2085269.74,0.000640998,5.54E-05,0.936440678,0.460870907,0.632738206,3,0
E104,1,21,264.15,282067.99,1,22,2,280,290530,5.98E-05,5.90E-06,0.863636364,0.998074344,0.999063524,2,1
E105,6,122,7436.92,934719.37,4,128,1,8480,962958.89,0.00034766,1.97E-05,0.9609375,0.982541362,0.992043687,2,1
E106,36,153,59073.13,639905.53,4,189,16,61461.1,659197.86,0.000513341,1.46E-05,0.894179894,0.829430831,0.907684608,1,1
E107,9,54,104637.38,886320.67,0,63,20,110910,939500,0.000171114,2.07E-05,0.682539683,0.788825316,0.881941848,3,3
E108,218,33,99297,191471.11,5,251,0,106222.95,197215.26,0.000681739,6.07E-06,0.980079681,0.299870969,0.48139957,3,0
E109,10,33,3257.44,662413.36,0,43,10,3371,683043,0.000116792,1.39E-05,0.76744186,0.990177939,0.995082466,3,3
E11,2836,1117,143427397.2,152494507,25,3953,187,155449568.8,166981799.7,0.010736713,0.006181373,0.946369846,0.035766467,0.059458599,2,0
E110,3,83,963.39,267383.62,0,86,21,1040,275405.2,0.000233584,5.61E-06,0.755813953,0.992475905,0.996396975,2,3
E111,278,250,597956.99,1409005.92,32,528,60,653296.62,1667595.2,0.001434097,4.19E-05,0.825757576,0.437029667,0.57561783,3,1
E112,106,22,849334.69,1435233.49,3,128,10,988653.89,1678316.19,0.00034766,4.77E-05,0.8984375,0.25859394,0.408225424,3,0
E113,104,47,1290321.37,293235.75,0,151,18,1357988.73,340700,0.00041013,3.31E-05,0.880794702,-0.598867063,-3.400286698,3,2
E114,76,75,617541.09,253831.44,1,151,16,700442,261461.64,0.00041013,1.82E-05,0.887417219,-0.456366253,-1.432878646,3,2
E115,2,6,528.3,105048.54,0,8,2,560,108200,2.17E-05,2.21E-06,0.75,0.989702096,0.994970896,3,3
E116,10,47,2605.87,257329.39,0,57,4,2806.25,265055.32,0.000154817,5.43E-06,0.929824561,0.979047013,0.989873407,3,1
E117,4,44,6708.79,716740.9,0,48,18,7120,718944,0.000130372,1.51E-05,0.625,0.980387404,0.990639867,3,3
E118,29,144,151970.75,313360.31,1,173,10,169142.79,322775.2,0.000469884,9.72E-06,0.936416185,0.312313054,0.515028722,3,0
E119,315,21,219792.14,36157.3,1,336,4,249797.33,37242,0.000912607,5.35E-06,0.985119048,-0.740509428,-5.078776347,3,2
E12,1796,285,104130162.1,242695289.2,14,2081,61,111222714.6,263582992.5,0.005652188,0.007244673,0.963959635,0.40650469,0.570942797,1,0
