JXFP,XXFP,JXJE,XXJE,FFP,FPZS,ZFFP,JXJS,XXJS,RM,LT,WD,YL,ML,grade
0.106995117,0.336726638,1,1,0.066269052,0.270353195,0.227945205,1,1,0.270353373,1,0.894010349,0.357105061,0.864069716,0
0.127398837,0.023351477,0.001032383,0.088861697,0.007952286,0.10907345,0.158356164,0.000939884,0.079324689,0.109073674,0.037079153,0.877202866,0.981872615,0.998430978,1
0.001772884,0.003864212,3.49E-06,0.000157625,0.003313453,0.003489788,0.000547945,3.34E-06,0.000140504,0.003490031,6.00E-05,0.806655884,0.965504315,0.997123027,3
0.000466548,0.002368388,7.65E-06,0.000142725,0,0.001662919,0.016986301,7.67E-06,0.000143521,0.001663164,5.63E-05,0.1710626,0.925707074,0.99310106,3
0.022674256,0.007105165,0.000540213,8.84E-05,0.002208968,0.021055837,0.025205479,0.000538049,8.91E-05,0.021056082,0.000347754,0.894544144,0.030938806,0.243596485,3
0.005318653,0.002409939,0.000119378,0.000458268,0.000441794,0.005340079,0.007123288,0.000111608,0.000426781,0.005340327,0.000251695,0.89056791,0.706109575,0.965244915,3
0,0.00062326,0,5.92E-05,0.000220897,0.0003279,0.00109589,0,5.28E-05,0.000328544,1.75E-05,0.731274101,0.999073046,0.999921596,2
0.000155516,0.004819878,1.20E-06,0.000216367,0.000883587,0.002810568,0.000547945,1.19E-06,0.000192907,0.002810816,8.28E-05,0.944166273,0.990602146,0.999257092,2
0.001088613,0.006107949,9.86E-06,0.000145378,0.000883587,0.004239273,0.008767123,8.88E-06,0.000129607,0.004239516,5.86E-05,0.798102493,0.907103439,0.991271586,1
0.000248826,0.001994432,1.75E-05,0.000204713,0,0.001288177,0.010958904,1.61E-05,0.000188018,0.001288426,8.75E-05,0.335039614,0.884959254,0.988834753,3
0.006749401,0.001121868,1.66E-05,3.74E-05,0.001104484,0.0056914,0,1.54E-05,3.33E-05,0.005691645,1.83E-05,0.986048831,0.618308386,0.950919064,3
0.000279929,0.001121868,5.02E-07,0.000150798,0,0.000819749,0.005479452,4.48E-07,0.000134576,0.000819997,5.53E-05,0.520803209,0.994766748,0.999544745,3
0.088177662,0.046162796,0.024048706,0.03671079,0.005522421,0.092397414,0.102465753,0.022552764,0.034788997,0.09239764,0.029239755,0.912292652,0.474279204,0.910977756,2
6.22E-05,0.003199402,1.17E-07,5.57E-05,0,0.001826869,0.011506849,1.10E-07,4.96E-05,0.001827117,1.61E-05,0.495361673,0.996019942,0.999669178,2
0.008615595,0.010138364,0.000100216,0.000330571,0.007068699,0.012179127,0.032876712,9.47E-05,0.000339744,0.012179374,0.000187813,0.648396369,0.693107774,0.959837849,3
0.003265839,0.000664811,0.000142365,0.000336887,0.000662691,0.002810568,0.005479452,0.000143394,0.000341978,0.002810816,0.000215258,0.807418016,0.595797991,0.943992335,3
0.003203633,0.001703578,0.000216306,6.19E-05,0,0.00334926,0.009863014,0.000196978,6.32E-05,0.003349507,0.000146171,0.768816066,0.128182309,0.583475183,3
0.002332742,0.002866996,0.0001035,5.24E-05,0.000220897,0.00334926,0.008767123,0.00010158,4.67E-05,0.003349507,7.57E-05,0.783305949,0.205895013,0.769711783,3
